Text,Date,Time,Draft,Facebook,Twitter,Linkedin,GMB,Instagram,Pinterest,TikTok,Picture Url 1,Shortener
"MYTH: “Termites only eat old homes.” FACT: new builds on cleared land face some of the highest termite pressure in QLD — and builders’ barriers expire. Know your dates. 📞 (07) 3113 9666 #MythBusted #Termites #SlugABug",22/09/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-067.jpg,FALSE
"Pet households: we plan every treatment around feeding areas, tanks and cages, and tell you exactly when floors are dry. Tough on pests, soft on paws. 🐾 📞 (07) 3113 9666 #PetFriendly #BrisbanePets #SlugABug",23/09/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-075.jpg,FALSE
"Logan & Springwood! 🏗️ Every new development displaces pests into the established homes next door. Builders on your street? Book a check. 📞 (07) 3113 9666 #Logan #Springwood #SlugABug",24/09/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-043.jpg,FALSE
"Office kitchens: crumbs by Friday, ant trails by Monday. 🐜 After-hours treatments your team never notices — easiest facilities win of the quarter. 📞 (07) 3113 9666 #OfficeLife #FacilitiesManagement #SlugABug",25/09/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-053.jpg,FALSE
"What actually happens in a termite inspection? Full interior + exterior, Termatrac radar and moisture readings, roof void and subfloor, same-day written report with photos, plain-English advice. 📞 (07) 3113 9666 #TermiteInspection #AskSlugABug #SlugABug",26/09/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-094.jpg,FALSE
"95% of a flea problem isn't on your pet — it's eggs, larvae and pupae in your carpet, bedding and floorboards. Treat the dog without treating the house and they're back in a fortnight. Pets scratching? Treat the whole home. 📞 (07) 3113 9666",27/09/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-007.jpg,FALSE
"Back to school = lunchbox crumbs = ant trails by week 2. 🎒 A quick perimeter treatment now saves the whole term. 📞 (07) 3113 9666 #BackToSchool #AntControl #SlugABug",28/09/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-060.jpg,FALSE
"When you call us, a Brisbane local answers — and books you in days, not weeks. Urgent swarms, wasp nests and rodent jobs get priority. ⚡ 📞 (07) 3113 9666 #FastService #BrisbanePestControl #SlugABug",29/09/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-081.jpg,FALSE
"MYTH: “Daddy long-legs are the deadliest spider.” FACT: schoolyard legend — they’re harmless to humans. Redbacks and white-tails are the ones worth respecting. 📞 (07) 3113 9666 #MythBusted #SpiderFacts #SlugABug",30/09/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-068.jpg,FALSE
"Your garage is running a pest hotel: cardboard bedding, roller-door entry, undisturbed corners. Five-minute audit this weekend — then add it to the yearly treatment. 🚗 📞 (07) 3113 9666 #GarageGoals #BrisbaneHomes #SlugABug",01/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-076.jpg,FALSE
"Capalaba & the Redlands! Bayside humidity keeps pests active basically year-round — regular treatment matters more here than most places. 📞 (07) 3113 9666 #Capalaba #Redlands #SlugABug",02/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-044.jpg,FALSE
"Strata committees: one contact, one invoice, whole complex covered — common areas, bulk unit pricing, termite inspections for the block, committee-ready reports. 📞 (07) 3113 9666 #Strata #BodyCorporate #SlugABug",03/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-054.jpg,FALSE
"One termite queen lays up to 30,000 eggs a DAY — and keeps going for decades. 🤯 An annual inspection is the only early-warning system there is. 📞 (07) 3113 9666 #Termites #BrisbanePestControl #SlugABug",04/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-026.jpg,FALSE
"Business owners: commercial pest programs are a deductible operating expense. Lock yours in before June 30 and start the new FY protected. 📊 📞 (07) 3113 9666 #EOFY #BrisbaneBusiness #SlugABug",05/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-061.jpg,FALSE
"Free quotes, straight answers. We’ll tell you what you need, what you DON’T, and the price before we start. If a cheaper option does the job — you’ll hear it from us first. 📞 (07) 3113 9666 #StraightShooters #BrisbanePestControl #SlugABug",06/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-082.jpg,FALSE
"MYTH: “Coffee grounds keep ants away.” FACT: they detour around them — politely. ☕ Treat the nest and entry points; keep the coffee for yourself. 📞 (07) 3113 9666 #MythBusted #AntControl #SlugABug",07/10/2026,07:30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-069.jpg,FALSE
