date,time,text,media_url,campaign,post
2026-08-03,07:30,"Termites do more damage to Australian homes every year than fire, storms and floods combined — and most insurance policies won't cover a cent of it. 😳 A yearly inspection is the cheapest protection there is. Book yours today 👉 (07) 3113 9666",https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-001.jpg,"Did You Know",001
2026-08-04,07:30,"Pests don't take winter off. ❄️ When Brisbane temperatures drop, rodents, cockroaches and spiders move indoors looking for warmth, food and shelter — your roof void, kitchen and garage. Protect your home before they settle in. 📞 (07) 3113 9666",https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-008.jpg,"Seasonal",008
2026-08-05,07:30,"1 in 3 Queensland homes will be hit by termites. We use Termatrac radar detection to find them inside your walls — no drilling, no guesswork. Australian Standards recommend an inspection every 12 months. When was yours? 📞 (07) 3113 9666",https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-012.jpg,"Services",012
2026-08-06,07:30,"Is something living in your roof? 👂 Scratching at night, droppings in the pantry, gnaw marks on cables, a musky smell, pets staring at the ceiling… tick any of these and it's time to call. Roof rats multiply fast. 📞 (07) 3113 9666",https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-014.jpg,"Services",014
2026-08-07,07:30,"1,200+ five-star reviews. ⭐⭐⭐⭐⭐ Family owned, 20+ years in Brisbane, fully licensed and insured. Locals don't leave reviews like that for average work. See why Brisbane keeps calling us back. 📞 (07) 3113 9666",https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-018.jpg,"Trust & Offers",018
2026-08-08,07:30,"MYTH: ""Surface spray kills termites."" FACT: it just makes them harder to find. Disturbed termites abandon the area — then quietly tunnel somewhere else in your home. Found termites? Don't touch them. Call us first for free advice. 📞 (07) 3113 9666",https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-022.jpg,"Myth-Busting",022
2026-08-09,07:30,"Make your home boring to pests. 🏠 Seal the gaps, trim branches off the roofline, fix leaking taps, seal your food — and book one professional treatment a year. Do the five, we'll handle the rest. 📞 (07) 3113 9666",https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-025.jpg,"Pro Tips",025
2026-08-10,07:30,"North Lakes! 🏡 New estates + bushland edges = termite pressure from day one. Your local team covers North Lakes & Mango Hill — inspections, barriers, treatments. 📞 (07) 3113 9666 #NorthLakes #BrisbanePestControl #SlugABug",https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-038.jpg,"Suburb Spotlight",038
2026-08-11,07:30,"Childcare directors: pest control should be invisible to the kids and obvious to the auditor. After-hours treatments, child-safe products, full documentation. 📞 (07) 3113 9666 #Childcare #CompliantPestControl #SlugABug",https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-048.jpg,"Commercial",048
2026-08-12,07:30,"“How often do I actually need pest control?” For most Brisbane homes: once every 12 months — general treatment + termite inspection. We’ll remind you when it’s due. 🗓️ 📞 (07) 3113 9666 #AskSlugABug #PestControl101 #SlugABug",https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-089.jpg,"Q&A",089
2026-08-13,07:30,"A cockroach can live a WEEK without its head. 🪳 Imagine what it can survive under your fridge. If you're seeing roaches in daylight, there are hundreds you don't see. One treatment, 30-day guarantee. 📞 (07) 3113 9666",https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-002.jpg,"Did You Know",002
2026-08-14,07:30,"🚨 Seen ""flying ants"" at dusk? That's probably a termite swarm — and it means a mature nest is nearby, possibly already in your walls. Don't spray them. Don't touch them. Call us before they disappear. 📞 (07) 3113 9666",https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-009.jpg,"Seasonal",009
2026-08-15,07:30,"One visit. Every pest. ✅ Cockroaches ✅ Spiders ✅ Ants ✅ Silverfish & wasps — all covered in one general treatment, backed by our 30-day guarantee. Afterpay available. 📞 (07) 3113 9666",https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-013.jpg,"Services",013
2026-08-16,07:30,"5 signs termites are already home: mud tubes on walls, sticking doors and windows, hollow-sounding timber, blistering paint, discarded wings on the sills. Spotted one? Don't disturb it — early detection saves thousands. 📞 (07) 3113 9666",https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-023.jpg,"Services",023
2026-08-17,07:30,"Our 30-day guarantee, in plain English: not happy? We re-treat FREE. Still not happy? Full refund + $25 for your trouble. No fine print, no hoops — just pest control that has to work. 📞 (07) 3113 9666",https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-019.jpg,"Trust & Offers",019
2026-08-18,07:30,"Supermarket sprays kill the ones you see. We stop the thousands you don't. 🎯 Nests, egg cases, trails and entry points — a professional treatment breaks the breeding cycle instead of the surface. Stop repeat-buying spray cans. 📞 (07) 3113 9666",https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-024.jpg,"Myth-Busting",024
2026-08-19,07:30,"Little moths flying out of the pantry? Webbing in the flour? Eviction time: bin it, airtight everything, vinegar-wipe, freeze new bulk buys. Still fluttering — call us. 📞 (07) 3113 9666 #PantryMoths #KitchenTips #SlugABug",https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/facebook/post-071.jpg,"Pro Tips",071
