Text,Date,Time,Draft,Facebook,Twitter,Linkedin,GMB,Instagram,Pinterest,TikTok,Picture Url 1,Shortener
"Termites do more damage to Australian homes every year than fire, storms and floods combined — and most insurance policies won't cover a cent of it. 😳 A yearly inspection is the cheapest protection there is. Book yours today 👉 (07) 3113 9666",03/08/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-001.jpg,FALSE
"Pests don't take winter off. ❄️ When Brisbane temperatures drop, rodents, cockroaches and spiders move indoors looking for warmth, food and shelter — your roof void, kitchen and garage. Protect your home before they settle in. 📞 (07) 3113 9666",04/08/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-008.jpg,FALSE
"1 in 3 Queensland homes will be hit by termites. We use Termatrac radar detection to find them inside your walls — no drilling, no guesswork. Australian Standards recommend an inspection every 12 months. When was yours? 📞 (07) 3113 9666",05/08/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-012.jpg,FALSE
"Is something living in your roof? 👂 Scratching at night, droppings in the pantry, gnaw marks on cables, a musky smell, pets staring at the ceiling… tick any of these and it's time to call. Roof rats multiply fast. 📞 (07) 3113 9666",06/08/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-014.jpg,FALSE
"1,200+ five-star reviews. ⭐⭐⭐⭐⭐ Family owned, 20+ years in Brisbane, fully licensed and insured. Locals don't leave reviews like that for average work. See why Brisbane keeps calling us back. 📞 (07) 3113 9666",07/08/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-018.jpg,FALSE
"MYTH: ""Surface spray kills termites."" FACT: it just makes them harder to find. Disturbed termites abandon the area — then quietly tunnel somewhere else in your home. Found termites? Don't touch them. Call us first for free advice. 📞 (07) 3113 9666",08/08/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-022.jpg,FALSE
"Make your home boring to pests. 🏠 Seal the gaps, trim branches off the roofline, fix leaking taps, seal your food — and book one professional treatment a year. Do the five, we'll handle the rest. 📞 (07) 3113 9666",09/08/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-025.jpg,FALSE
"North Lakes! 🏡 New estates + bushland edges = termite pressure from day one. Your local team covers North Lakes & Mango Hill — inspections, barriers, treatments. 📞 (07) 3113 9666 #NorthLakes #BrisbanePestControl #SlugABug",10/08/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-038.jpg,FALSE
"Childcare directors: pest control should be invisible to the kids and obvious to the auditor. After-hours treatments, child-safe products, full documentation. 📞 (07) 3113 9666 #Childcare #CompliantPestControl #SlugABug",11/08/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-048.jpg,FALSE
"“How often do I actually need pest control?” For most Brisbane homes: once every 12 months — general treatment + termite inspection. We’ll remind you when it’s due. 🗓️ 📞 (07) 3113 9666 #AskSlugABug #PestControl101 #SlugABug",12/08/2026,09:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/Buglif69/Bugboss/e725722536233a4d6cda52cae70e1f39325e3b6b/social-pack/square/post-089.jpg,FALSE
